Building graph from scratch...
conv1_1 [ 3  3  3 64]
conv1_2 [ 3  3 64 64]
conv2_1 [  3   3  64 128]
conv2_2 [  3   3 128 128]
conv3_1 [  3   3 128 256]
conv3_2 [  3   3 256 256]
conv3_3 [  3   3 256 256]
conv4_1 [  3   3 256 512]
conv4_2 [  3   3 512 512]
conv4_3 [  3   3 512 512]
conv5_1 [  3   3 512 512]
conv5_2 [  3   3 512 512]
conv5_3 [  3   3 512 512]
train score:1.91920959949, test score:2.00206446648
train score:2.07185339928, test score:1.9812759161
train score:2.08791208267, test score:1.97329723835
train score:1.97624897957, test score:1.91138958931
train score:1.91302263737, test score:1.97444343567
train score:1.94047045708, test score:1.94583773613
train score:1.8509632349, test score:2.00347685814
train score:1.97411501408, test score:1.95283329487
train score:1.94057428837, test score:1.95593512058
train score:1.93801772594, test score:1.95769190788
train score:1.92449569702, test score:1.92673814297
train score:1.91531896591, test score:2.01082992554
train score:2.0091650486, test score:1.89049220085
train score:1.88721084595, test score:1.93978571892
train score:1.99232184887, test score:1.98247098923
train score:1.91374850273, test score:1.98109173775
train score:1.94210124016, test score:1.88240492344
train score:1.95103907585, test score:1.86274659634
train score:1.96524202824, test score:1.89120960236
train score:1.89579105377, test score:1.9881581068
train score:1.97359836102, test score:1.99884009361
train score:1.97839927673, test score:1.93814778328
train score:1.98691105843, test score:1.88028848171
train score:1.91613805294, test score:1.96946763992
train score:1.90030133724, test score:1.905585289
train score:1.91897833347, test score:1.97905063629
train score:1.85492134094, test score:1.91089844704
train score:1.9571300745, test score:1.95123958588
train score:1.93744587898, test score:1.86627912521
train score:1.8514881134, test score:1.97214782238
train score:1.89847385883, test score:1.9468806982
train score:1.90460765362, test score:1.96961688995
train score:1.96747088432, test score:1.98041725159
train score:1.90787363052, test score:1.91888618469
train score:1.96908986568, test score:1.97936868668
train score:1.95098471642, test score:1.98385798931
train score:1.93962073326, test score:1.92379188538
train score:1.9885392189, test score:1.83894014359
train score:1.9267462492, test score:1.92849719524
train score:1.98234343529, test score:1.92878580093
train score:1.87701487541, test score:1.92481422424
train score:1.8750243187, test score:1.90787470341
train score:1.89802026749, test score:1.93302857876
train score:1.90374016762, test score:1.90962314606
train score:1.92375040054, test score:1.96849811077
train score:2.00661277771, test score:1.97326409817
train score:1.89148759842, test score:1.90874087811
train score:1.92262840271, test score:2.01088190079
train score:1.8647685051, test score:1.98868215084
train score:2.01714086533, test score:1.91485238075
train score:1.98796868324, test score:1.91416800022
train score:1.93435621262, test score:1.90322256088
train score:1.99321067333, test score:1.97931408882
train score:1.93660795689, test score:1.96993637085
train score:1.91179931164, test score:1.89328145981
train score:1.907984972, test score:1.90829265118
train score:1.91208124161, test score:2.01360559464
train score:1.98904013634, test score:1.84094810486
train score:1.88190865517, test score:1.91289269924
train score:1.98579144478, test score:1.91637182236
train score:1.92449593544, test score:2.04027509689
train score:1.92323732376, test score:1.93700671196
train score:1.9347922802, test score:1.93163275719
train score:1.83316624165, test score:1.89689564705
train score:1.85826849937, test score:1.94557356834
train score:1.87798607349, test score:1.89921689034
train score:2.00524067879, test score:1.97889828682
train score:1.8887283802, test score:2.01313877106
train score:1.93692517281, test score:1.94298899174
train score:1.96976447105, test score:2.00959515572
train score:1.97740674019, test score:1.92175936699
train score:1.8717662096, test score:1.88144350052
train score:1.9035961628, test score:1.87613236904
train score:1.95505177975, test score:1.92521011829
train score:1.95071673393, test score:1.93150687218
train score:1.94545888901, test score:2.06828474998
train score:2.06471633911, test score:1.92004621029
train score:1.87948715687, test score:1.96540808678
train score:1.97299790382, test score:1.93986368179
train score:1.98267269135, test score:1.8978831768
train score:1.90921628475, test score:1.97018885612
train score:1.92756938934, test score:1.95399641991
train score:1.95498764515, test score:2.0110104084
train score:1.94027793407, test score:1.9112868309
train score:1.89184725285, test score:1.87362480164
train score:2.00394678116, test score:1.85007917881
train score:1.85755264759, test score:1.93496596813
train score:1.94697892666, test score:1.89079678059
train score:1.92715263367, test score:2.02126264572
train score:1.92738306522, test score:1.9324760437
train score:1.93549954891, test score:1.92585849762
train score:1.84799027443, test score:1.95321941376
train score:1.89391040802, test score:1.92809319496
train score:2.00103998184, test score:1.87572205067
train score:1.91135287285, test score:1.97005796432
train score:1.8611124754, test score:1.96773660183
train score:1.963083148, test score:1.99121212959
train score:1.87810587883, test score:1.94505310059
train score:1.89096426964, test score:1.89361190796
train score:1.90643668175, test score:1.88920354843
train score:1.92375016212, test score:1.94227027893
train score:1.95625698566, test score:1.9444899559
train score:1.88365268707, test score:1.90847074986
train score:1.88330996037, test score:1.88257789612
train score:1.94656896591, test score:1.90204584599
train score:1.88347434998, test score:1.91149377823
train score:2.00506258011, test score:1.96686315536
train score:1.86991155148, test score:1.90508627892
train score:1.88231492043, test score:1.92603468895
train score:1.89779388905, test score:1.88863885403
train score:1.9571659565, test score:1.91253972054
train score:1.88542211056, test score:1.95353746414
train score:1.81681311131, test score:1.89531350136
train score:1.85854971409, test score:1.98496961594
train score:1.91865718365, test score:2.00772070885
train score:1.89291930199, test score:1.85900366306
train score:1.87394940853, test score:1.86710476875
train score:1.78304815292, test score:1.83912539482
train score:1.86560714245, test score:1.86255455017
train score:1.9575574398, test score:1.95349729061
train score:1.88634324074, test score:1.96364843845
train score:2.08623051643, test score:1.95423054695
train score:1.90842199326, test score:1.88911294937
train score:1.93308222294, test score:1.94798576832
train score:1.94296979904, test score:1.91864228249
train score:1.90106213093, test score:1.95931351185
train score:1.94765746593, test score:1.89210450649
train score:1.89605665207, test score:1.90192198753
train score:1.94401788712, test score:1.8897074461
train score:1.95042490959, test score:1.96288657188
train score:1.91939270496, test score:1.9524409771
train score:1.98044288158, test score:1.94890213013
train score:1.8554725647, test score:1.92154479027
train score:1.92164576054, test score:1.89084112644
train score:1.85251688957, test score:1.90462815762
train score:1.88658905029, test score:1.92421102524
train score:1.90976178646, test score:1.9154651165
train score:1.89700031281, test score:1.81101286411
train score:1.88437318802, test score:1.87241530418
train score:1.84043586254, test score:1.86735463142
train score:1.89359474182, test score:1.88882470131
train score:1.91932952404, test score:1.88313984871
train score:1.81469225883, test score:1.95590424538
train score:1.87778770924, test score:1.88815891743
train score:1.92400550842, test score:1.93258285522
train score:1.88844871521, test score:1.93362522125
train score:1.8662674427, test score:1.89712095261
train score:1.95328605175, test score:1.99763083458
train score:1.95189678669, test score:1.9407081604
train score:1.93848419189, test score:1.84127485752
train score:1.80609500408, test score:1.88875842094
train score:1.86489605904, test score:1.87491929531
train score:1.88956320286, test score:1.88078820705
train score:1.89314448833, test score:1.94002437592
train score:1.83611643314, test score:1.88102829456
train score:1.95162832737, test score:1.81093585491
train score:1.93279159069, test score:1.95688843727
train score:1.82374966145, test score:1.76730298996
train score:1.86170554161, test score:1.85008001328
train score:2.01707649231, test score:1.86277365685
train score:1.96723878384, test score:1.99042892456
train score:1.87743473053, test score:1.90077996254
train score:1.84789824486, test score:1.92941880226
train score:1.92625236511, test score:1.84309744835
train score:1.89659702778, test score:1.90989518166
train score:1.86061644554, test score:1.87944889069
train score:1.89216148853, test score:1.93100452423
train score:1.87543976307, test score:1.91135191917
train score:2.00993871689, test score:1.88095355034
train score:1.88328111172, test score:1.94602262974
train score:1.94354343414, test score:1.89927506447
train score:1.84630048275, test score:1.90121781826
train score:1.94007635117, test score:1.86530721188
train score:1.92142605782, test score:1.8851146698
train score:1.94387614727, test score:1.95796227455
train score:2.03409552574, test score:1.99930715561
train score:1.86688280106, test score:1.83495974541
train score:1.89976394176, test score:1.93116497993
train score:1.77959501743, test score:1.92698943615
train score:1.87232816219, test score:1.81295621395
train score:1.84794998169, test score:1.86129069328
train score:1.97338712215, test score:1.90198397636
train score:1.90543591976, test score:1.97122240067
train score:1.8704212904, test score:1.90109741688
train score:1.86354660988, test score:1.82426321507
train score:1.85596060753, test score:1.83238649368
train score:1.96676111221, test score:1.91253721714
train score:1.84445810318, test score:1.80616164207
train score:1.8416929245, test score:1.90409195423
train score:1.92759478092, test score:1.88161182404
train score:1.85064589977, test score:1.91691911221
train score:1.96019303799, test score:1.92394757271
train score:2.00279164314, test score:1.88318288326
train score:1.90558803082, test score:1.8328769207
train score:1.85644197464, test score:1.97347140312
train score:1.92818415165, test score:1.99709033966
train score:1.93983697891, test score:2.0240008831
train score:1.92516744137, test score:1.91698098183
train score:1.9293448925, test score:1.82924807072
train score:1.88077878952, test score:1.87710118294
train score:1.83739280701, test score:1.87555634975
train score:1.90357398987, test score:1.88062357903
train score:1.79766511917, test score:1.86210107803
train score:1.98191273212, test score:1.83704137802
train score:1.99871456623, test score:1.85212898254
train score:1.95108604431, test score:1.8676866293
train score:1.89197468758, test score:1.87165999413
train score:1.91610968113, test score:1.90617895126
train score:1.84992611408, test score:1.88839793205
train score:1.93969297409, test score:1.81382465363
train score:1.86449682713, test score:1.91608345509
train score:1.87332475185, test score:1.91092133522
train score:1.89586007595, test score:1.88488304615
train score:1.86935520172, test score:1.95064640045
train score:1.84744143486, test score:1.9105232954
train score:1.84104347229, test score:1.88103818893
train score:1.94970548153, test score:1.86340153217
train score:1.88746702671, test score:1.82447433472
train score:1.83623957634, test score:1.86717271805
train score:1.88259136677, test score:1.94955229759
train score:1.93676376343, test score:1.96222817898
train score:1.85134840012, test score:1.93217098713
train score:1.94271159172, test score:1.85595238209
train score:1.83659815788, test score:1.90534329414
train score:1.91239237785, test score:1.86914896965
train score:1.89216256142, test score:1.93416297436
train score:1.83457422256, test score:1.83892691135
train score:1.83589792252, test score:1.92376208305
train score:1.96528851986, test score:1.86709702015
train score:1.89314198494, test score:1.92351257801
train score:1.91333186626, test score:1.81950950623
train score:1.91216182709, test score:1.8917709589
train score:1.85638916492, test score:1.85509169102
train score:1.78695869446, test score:1.87081885338
train score:1.86871826649, test score:1.897803545
train score:1.86627483368, test score:1.84118676186
train score:1.89380919933, test score:1.82443666458
train score:1.83227872849, test score:1.78445506096
train score:1.84574317932, test score:1.82942426205
train score:1.80421471596, test score:1.85017609596
train score:1.79952800274, test score:1.84960484505
train score:1.79151749611, test score:1.81998872757
train score:1.80149507523, test score:1.8970707655
train score:1.85956215858, test score:1.84655547142
train score:1.80586600304, test score:1.8135881424
train score:1.86602067947, test score:1.82481431961
train score:1.89046370983, test score:1.80513823032
train score:1.83548593521, test score:1.94796562195
train score:1.80718898773, test score:1.84800815582
train score:1.78403866291, test score:1.7483651638
train score:1.71199059486, test score:1.77876329422
train score:1.91073787212, test score:1.78858458996
train score:1.79645562172, test score:1.81549334526
train score:1.75305914879, test score:1.91446709633
train score:1.82590615749, test score:1.80339396
train score:1.88031959534, test score:1.74909675121
train score:1.6715836525, test score:1.911013484
