counts,log_counts,n_boxes,pixels_above
1.0,0.69314718056,4,3125.0
0.0,0.0,1,83.0
2.0,1.09861228867,3,1972.0
3.0,1.38629436112,6,4114.0
0.0,0.0,5,918.0
7.0,2.07944154168,5,2412.0
1.0,0.69314718056,5,2076.0
1.0,0.69314718056,4,1988.0
1.0,0.69314718056,4,821.0
2.0,1.09861228867,6,3850.0
1.0,0.69314718056,4,2388.0
2.0,1.09861228867,2,666.0
0.0,0.0,4,2413.0
1.0,0.69314718056,4,1837.0
0.0,0.0,4,1810.0
2.0,1.09861228867,5,2462.0
1.0,0.69314718056,4,2028.0
1.0,0.69314718056,2,1696.0
1.0,0.69314718056,3,1688.0
1.0,0.69314718056,5,1775.0
1.0,0.69314718056,5,1630.0
0.0,0.0,2,186.0
2.0,1.09861228867,6,4748.0
9.0,2.30258509299,6,5440.0
0.0,0.0,0,0.0
3.0,1.38629436112,5,4360.0
4.0,1.60943791243,5,955.0
1.0,0.69314718056,5,1286.0
1.0,0.69314718056,5,2845.0
0.0,0.0,2,126.0
4.0,1.60943791243,6,6843.0
2.0,1.09861228867,6,4532.0
1.0,0.69314718056,5,1627.0
1.0,0.69314718056,4,2052.0
5.0,1.79175946923,6,5025.0
2.0,1.09861228867,5,2037.0
1.0,0.69314718056,2,2295.0
1.0,0.69314718056,3,759.0
4.0,1.60943791243,6,4390.0
1.0,0.69314718056,3,1655.0
0.0,0.0,4,2068.0
1.0,0.69314718056,5,1935.0
1.0,0.69314718056,5,6438.0
1.0,0.69314718056,6,4472.0
2.0,1.09861228867,2,1446.0
0.0,0.0,5,2791.0
3.0,1.38629436112,5,4950.0
3.0,1.38629436112,5,3052.0
2.0,1.09861228867,6,1385.0
1.0,0.69314718056,3,1215.0
1.0,0.69314718056,5,2772.0
2.0,1.09861228867,3,920.0
3.0,1.38629436112,3,1945.0
3.0,1.38629436112,6,1827.0
1.0,0.69314718056,6,4294.0
1.0,0.69314718056,5,1704.0
3.0,1.38629436112,5,5182.0
3.0,1.38629436112,3,1697.0
1.0,0.69314718056,5,1027.0
1.0,0.69314718056,2,1051.0
0.0,0.0,5,1557.0
8.0,2.19722457734,6,5031.0
3.0,1.38629436112,3,2112.0
1.0,0.69314718056,4,1948.0
1.0,0.69314718056,4,1583.0
1.0,0.69314718056,3,596.0
3.0,1.38629436112,6,4953.0
1.0,0.69314718056,6,1315.0
1.0,0.69314718056,5,3307.0
1.0,0.69314718056,3,1839.0
2.0,1.09861228867,6,5197.0
2.0,1.09861228867,6,4504.0
1.0,0.69314718056,6,2040.0
1.0,0.69314718056,3,2802.0
1.0,0.69314718056,2,3383.0
3.0,1.38629436112,5,2656.0
1.0,0.69314718056,6,2893.0
2.0,1.09861228867,5,5874.0
1.0,0.69314718056,5,928.0
2.0,1.09861228867,3,3464.0
1.0,0.69314718056,6,2715.0
2.0,1.09861228867,6,3986.0
7.0,2.07944154168,5,4697.0
0.0,0.0,4,1240.0
2.0,1.09861228867,3,798.0
0.0,0.0,0,0.0
3.0,1.38629436112,4,2293.0
1.0,0.69314718056,4,2198.0
3.0,1.38629436112,6,5450.0
1.0,0.69314718056,1,236.0
2.0,1.09861228867,6,3602.0
0.0,0.0,1,78.0
4.0,1.60943791243,6,4903.0
1.0,0.69314718056,4,2570.0
0.0,0.0,1,88.0
0.0,0.0,1,21.0
1.0,0.69314718056,2,273.0
2.0,1.09861228867,4,1684.0
2.0,1.09861228867,5,4754.0
