counts,log_counts,n_boxes,pixels_above
3.0,1.38629436112,4,1841.0
0.0,0.0,3,1261.0
1.0,0.69314718056,5,3929.0
3.0,1.38629436112,2,3328.0
1.0,0.69314718056,2,565.0
0.0,0.0,1,80.0
1.0,0.69314718056,5,1669.0
1.0,0.69314718056,1,627.0
1.0,0.69314718056,2,45.0
2.0,1.09861228867,4,3877.0
3.0,1.38629436112,5,5325.0
1.0,0.69314718056,6,2631.0
4.0,1.60943791243,6,7179.0
1.0,0.69314718056,6,1204.0
1.0,0.69314718056,3,941.0
0.0,0.0,1,250.0
1.0,0.69314718056,5,1681.0
1.0,0.69314718056,6,6824.0
4.0,1.60943791243,6,4439.0
1.0,0.69314718056,4,1721.0
1.0,0.69314718056,3,345.0
2.0,1.09861228867,4,3613.0
1.0,0.69314718056,3,1367.0
0.0,0.0,3,133.0
3.0,1.38629436112,5,2770.0
1.0,0.69314718056,4,3026.0
2.0,1.09861228867,4,1554.0
0.0,0.0,1,1232.0
1.0,0.69314718056,3,3167.0
0.0,0.0,4,880.0
2.0,1.09861228867,5,4732.0
1.0,0.69314718056,5,4461.0
4.0,1.60943791243,4,3687.0
3.0,1.38629436112,4,3433.0
1.0,0.69314718056,3,2659.0
0.0,0.0,5,2415.0
3.0,1.38629436112,6,6442.0
1.0,0.69314718056,5,1250.0
4.0,1.60943791243,4,4291.0
4.0,1.60943791243,6,6648.0
2.0,1.09861228867,4,2234.0
2.0,1.09861228867,4,2206.0
2.0,1.09861228867,5,3503.0
1.0,0.69314718056,1,1078.0
0.0,0.0,1,107.0
1.0,0.69314718056,4,2610.0
1.0,0.69314718056,4,989.0
1.0,0.69314718056,4,1324.0
2.0,1.09861228867,5,3286.0
6.0,1.94591014906,6,7495.0
1.0,0.69314718056,3,3174.0
3.0,1.38629436112,6,6579.0
2.0,1.09861228867,3,798.0
1.0,0.69314718056,4,3800.0
0.0,0.0,2,292.0
6.0,1.94591014906,6,7025.0
0.0,0.0,1,97.0
0.0,0.0,0,0.0
1.0,0.69314718056,5,3587.0
1.0,0.69314718056,4,1776.0
2.0,1.09861228867,5,3673.0
2.0,1.09861228867,5,4920.0
2.0,1.09861228867,6,4658.0
2.0,1.09861228867,5,4333.0
6.0,1.94591014906,6,6263.0
0.0,0.0,1,2.0
3.0,1.38629436112,5,4702.0
1.0,0.69314718056,6,5640.0
0.0,0.0,1,1297.0
1.0,0.69314718056,3,2668.0
1.0,0.69314718056,5,3655.0
3.0,1.38629436112,5,2206.0
2.0,1.09861228867,2,939.0
1.0,0.69314718056,1,1657.0
1.0,0.69314718056,5,2056.0
2.0,1.09861228867,6,1482.0
1.0,0.69314718056,3,1654.0
1.0,0.69314718056,1,1091.0
1.0,0.69314718056,4,2090.0
1.0,0.69314718056,5,2343.0
3.0,1.38629436112,2,2884.0
2.0,1.09861228867,4,2080.0
2.0,1.09861228867,4,3467.0
0.0,0.0,1,1255.0
1.0,0.69314718056,5,3248.0
1.0,0.69314718056,3,3479.0
0.0,0.0,2,608.0
1.0,0.69314718056,4,3643.0
3.0,1.38629436112,5,4307.0
5.0,1.79175946923,6,7336.0
2.0,1.09861228867,3,1663.0
1.0,0.69314718056,2,416.0
0.0,0.0,4,1425.0
1.0,0.69314718056,3,1244.0
0.0,0.0,4,1381.0
2.0,1.09861228867,6,5586.0
4.0,1.60943791243,5,7404.0
9.0,2.30258509299,6,7622.0
2.0,1.09861228867,5,3145.0
6.0,1.94591014906,5,3558.0
1.0,0.69314718056,4,2190.0
1.0,0.69314718056,5,4064.0
2.0,1.09861228867,6,6244.0
8.0,2.19722457734,6,7265.0
2.0,1.09861228867,5,4099.0
3.0,1.38629436112,5,2357.0
0.0,0.0,4,1550.0
1.0,0.69314718056,6,2277.0
1.0,0.69314718056,1,241.0
1.0,0.69314718056,4,885.0
2.0,1.09861228867,5,4071.0
1.0,0.69314718056,3,2317.0
5.0,1.79175946923,6,6960.0
1.0,0.69314718056,6,5584.0
4.0,1.60943791243,4,3562.0
2.0,1.09861228867,5,4450.0
1.0,0.69314718056,5,2437.0
1.0,0.69314718056,2,1929.0
1.0,0.69314718056,5,2389.0
1.0,0.69314718056,4,3733.0
1.0,0.69314718056,2,1241.0
4.0,1.60943791243,4,5341.0
1.0,0.69314718056,5,1771.0
8.0,2.19722457734,6,7632.0
2.0,1.09861228867,6,4063.0
1.0,0.69314718056,4,1621.0
0.0,0.0,3,1760.0
13.0,2.63905732962,5,8269.0
1.0,0.69314718056,4,1157.0
3.0,1.38629436112,3,1027.0
1.0,0.69314718056,3,3447.0
4.0,1.60943791243,6,4253.0
1.0,0.69314718056,6,4247.0
5.0,1.79175946923,6,5886.0
4.0,1.60943791243,6,6386.0
1.0,0.69314718056,2,146.0
2.0,1.09861228867,6,2904.0
3.0,1.38629436112,5,6037.0
1.0,0.69314718056,4,852.0
1.0,0.69314718056,6,5521.0
1.0,0.69314718056,4,1701.0
1.0,0.69314718056,3,246.0
2.0,1.09861228867,4,1235.0
0.0,0.0,3,1049.0
2.0,1.09861228867,4,4208.0
4.0,1.60943791243,6,6056.0
1.0,0.69314718056,3,2216.0
3.0,1.38629436112,5,3952.0
1.0,0.69314718056,1,356.0
1.0,0.69314718056,3,1590.0
2.0,1.09861228867,5,3076.0
2.0,1.09861228867,5,3739.0
0.0,0.0,4,1317.0
0.0,0.0,2,291.0
1.0,0.69314718056,4,1702.0
1.0,0.69314718056,5,1033.0
1.0,0.69314718056,2,1666.0
1.0,0.69314718056,2,1324.0
0.0,0.0,0,0.0
0.0,0.0,1,81.0
2.0,1.09861228867,2,2192.0
1.0,0.69314718056,2,1767.0
1.0,0.69314718056,3,1013.0
0.0,0.0,6,5511.0
1.0,0.69314718056,5,1139.0
0.0,0.0,3,950.0
1.0,0.69314718056,4,2196.0
1.0,0.69314718056,2,283.0
1.0,0.69314718056,6,3475.0
2.0,1.09861228867,5,4659.0
2.0,1.09861228867,5,3960.0
0.0,0.0,1,144.0
0.0,0.0,4,1610.0
1.0,0.69314718056,2,2468.0
3.0,1.38629436112,5,4302.0
1.0,0.69314718056,5,2608.0
3.0,1.38629436112,3,558.0
5.0,1.79175946923,6,6216.0
5.0,1.79175946923,6,6434.0
2.0,1.09861228867,4,2819.0
3.0,1.38629436112,6,5938.0
2.0,1.09861228867,4,2309.0
1.0,0.69314718056,2,762.0
2.0,1.09861228867,3,2831.0
7.0,2.07944154168,6,6839.0
5.0,1.79175946923,6,7030.0
1.0,0.69314718056,6,2418.0
0.0,0.0,4,1072.0
3.0,1.38629436112,6,5921.0
1.0,0.69314718056,4,2355.0
1.0,0.69314718056,6,5099.0
7.0,2.07944154168,6,6152.0
3.0,1.38629436112,5,4841.0
1.0,0.69314718056,3,1805.0
2.0,1.09861228867,5,3664.0
1.0,0.69314718056,4,215.0
3.0,1.38629436112,3,578.0
1.0,0.69314718056,3,3386.0
2.0,1.09861228867,5,2227.0
4.0,1.60943791243,6,6319.0
1.0,0.69314718056,2,402.0
1.0,0.69314718056,5,869.0
1.0,0.69314718056,2,1340.0
